"Tabela 1364 - Número de municípios, total e os com serviço de abastecimento de água, por tipo de tratamento da água"
"Variável - Municípios com serviço de abastecimento de água por rede geral de distribuição (Unidades)"
"Brasil, Unidade da Federação e Município";"Ano x Existência e tipo de tratamento da água"
"Brasil, Unidade da Federação e Município";"2000";;;;;;;;"2008";;;;;;;;"2017"
"Brasil, Unidade da Federação e Município";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento"
"Cachoeiras de Macacu (RJ)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Cambuci (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Carapebus (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Comendador Levy Gasparian (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Campos dos Goytacazes (RJ)";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Cantagalo (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Cardoso Moreira (RJ)";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Carmo (RJ)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Casimiro de Abreu (RJ)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Conceição de Macabu (RJ)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Cordeiro (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Duas Barras (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Duque de Caxias (RJ)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Engenheiro Paulo de Frontin (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Guapimirim (RJ)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Iguaba Grande (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Itaboraí (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Itaguaí (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Italva (RJ)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Itaocara (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Itaperuna (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Itatiaia (RJ)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Japeri (RJ)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Laje do Muriaé (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Macaé (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Macuco (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Magé (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Mangaratiba (RJ)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Maricá (RJ)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Mendes (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Mesquita (RJ)";"...";"...";"...";"...";"...";"...";"...";"...";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Miguel Pereira (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Miracema (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Natividade (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Nilópolis (RJ)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Niterói (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Nova Friburgo (RJ)";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Nova Iguaçu (RJ)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Paracambi (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Paraíba do Sul (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Paraty (RJ)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Paty do Alferes (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Petrópolis (RJ)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Pinheiral (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Piraí (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Porciúncula (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Porto Real (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Quatis (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Queimados (RJ)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Quissamã (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Resende (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Rio Bonito (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Rio Claro (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Rio das Flores (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Rio das Ostras (RJ)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Rio de Janeiro (RJ)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Santa Maria Madalena (RJ)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Santo Antônio de Pádua (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"São Francisco de Itabapoana (RJ)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"São Fidélis (RJ)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São Gonçalo (RJ)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"São João da Barra (RJ)";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"São João de Meriti (RJ)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"São José de Ubá (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São José do Vale do Rio Preto (RJ)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São Pedro da Aldeia (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"São Sebastião do Alto (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Sapucaia (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Saquarema (RJ)";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Seropédica (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Silva Jardim (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Sumidouro (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Tanguá (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Teresópolis (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Trajano de Moraes (RJ)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Três Rios (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Valença (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Varre-Sai (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Vassouras (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Volta Redonda (RJ)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Adamantina (SP)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Adolfo (SP)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Aguaí (SP)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Águas da Prata (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Águas de Lindóia (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Águas de Santa Bárbara (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Águas de São Pedro (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Agudos (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Alambari (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Alfredo Marcondes (SP)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Altair (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Altinópolis (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Alto Alegre (SP)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Alumínio (SP)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Álvares Florence (SP)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Álvares Machado (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Álvaro de Carvalho (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Alvinlândia (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Americana (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Américo Brasiliense (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Américo de Campos (SP)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Amparo (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Analândia (SP)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Andradina (SP)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Angatuba (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Anhembi (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Anhumas (SP)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Aparecida (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Aparecida d'Oeste (SP)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Apiaí (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Araçariguama (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Araçatuba (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Araçoiaba da Serra (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Aramina (SP)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Arandu (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Arapeí (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Araraquara (SP)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Araras (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Arco-Íris (SP)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Arealva (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Areias (SP)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Areiópolis (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Ariranha (SP)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Artur Nogueira (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Arujá (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Aspásia (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Assis (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Atibaia (SP)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Auriflama (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Avaí (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Avanhandava (SP)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Avaré (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Bady Bassitt (SP)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Balbinos (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Bálsamo (SP)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Bananal (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Barão de Antonina (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Barbosa (SP)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Bariri (SP)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Barra Bonita (SP)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"1";"-"
"Barra do Chapéu (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Barra do Turvo (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Barretos (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Barrinha (SP)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Barueri (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Bastos (SP)";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Batatais (SP)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Bauru (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Bebedouro (SP)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Bento de Abreu (SP)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Bernardino de Campos (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Bertioga (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Bilac (SP)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Birigui (SP)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Biritiba Mirim (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Boa Esperança do Sul (SP)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Bocaina (SP)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Bofete (SP)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
